observed_delta,median_delta,ci_low,ci_high,model_id,condition_id,n_questions
0.061141,0.061141,0.035326,0.086957,Qwen/Qwen2.5-7B-Instruct,cot_constrained,736
0.014946,0.014946,-0.002717,0.032609,Qwen/Qwen2.5-72B-Instruct,expert,736
0.01087,0.01087,-0.01087,0.032609,Qwen/Qwen2.5-72B-Instruct,cautious,736
0.050272,0.050272,0.033967,0.067935,Qwen/Qwen2.5-72B-Instruct,concise,736
0.067935,0.067935,0.044837,0.091033,Qwen/Qwen2.5-72B-Instruct,avoid_misconceptions,736
-0.04212,-0.04212,-0.058424,-0.027174,Qwen/Qwen2.5-72B-Instruct,numeric_labels,736
-0.027174,-0.027174,-0.043478,-0.01087,Qwen/Qwen2.5-72B-Instruct,single_line,736
-0.02038,-0.02038,-0.033967,-0.006793,Qwen/Qwen2.5-72B-Instruct,code_block,736
0.01087,0.01087,-0.002717,0.024457,Qwen/Qwen2.5-72B-Instruct,distractor_sentence,736
0.028533,0.028533,0.012228,0.044871,Qwen/Qwen2.5-72B-Instruct,distractor_paragraph,736
-0.001359,-0.001359,-0.016304,0.013587,Qwen/Qwen2.5-72B-Instruct,polite,736
-0.001359,-0.001359,-0.017663,0.014946,Qwen/Qwen2.5-72B-Instruct,direct,736
0.029891,0.029891,0.012228,0.047588,Qwen/Qwen2.5-72B-Instruct,cot_constrained,736
0.032609,0.032609,0.008152,0.057065,meta-llama/Llama-3.1-8B-Instruct,expert,736
-0.0625,-0.0625,-0.097826,-0.029891,meta-llama/Llama-3.1-8B-Instruct,cautious,736
-0.119565,-0.119565,-0.149457,-0.092391,meta-llama/Llama-3.1-8B-Instruct,concise,736
0.105978,0.105978,0.077446,0.134511,meta-llama/Llama-3.1-8B-Instruct,avoid_misconceptions,736
-0.08288,-0.08288,-0.108696,-0.058424,meta-llama/Llama-3.1-8B-Instruct,numeric_labels,736
-0.033967,-0.033967,-0.057065,-0.01087,meta-llama/Llama-3.1-8B-Instruct,single_line,736
0.001359,0.001359,-0.016304,0.019022,meta-llama/Llama-3.1-8B-Instruct,code_block,736
0.013587,0.013587,-0.01087,0.038043,meta-llama/Llama-3.1-8B-Instruct,distractor_sentence,736
-0.027174,-0.027174,-0.052989,-0.001359,meta-llama/Llama-3.1-8B-Instruct,distractor_paragraph,736
0.002717,0.002717,-0.019022,0.024457,meta-llama/Llama-3.1-8B-Instruct,polite,736
-0.001359,-0.001359,-0.023098,0.019022,meta-llama/Llama-3.1-8B-Instruct,direct,736
-0.142663,-0.142663,-0.175272,-0.111413,meta-llama/Llama-3.1-8B-Instruct,cot_constrained,736
0.035326,0.035326,0.016304,0.054348,meta-llama/Llama-3.1-70B-Instruct,expert,736
0.074728,0.074728,0.050272,0.099185,meta-llama/Llama-3.1-70B-Instruct,cautious,736
0.005435,0.005435,-0.012228,0.023098,meta-llama/Llama-3.1-70B-Instruct,concise,736
0.116848,0.116848,0.092391,0.141304,meta-llama/Llama-3.1-70B-Instruct,avoid_misconceptions,736
-0.013587,-0.013587,-0.027174,0.0,meta-llama/Llama-3.1-70B-Instruct,numeric_labels,736
-0.008152,-0.008152,-0.021739,0.005435,meta-llama/Llama-3.1-70B-Instruct,single_line,736
-0.013587,-0.013587,-0.029891,0.001359,meta-llama/Llama-3.1-70B-Instruct,code_block,736
0.02038,0.02038,0.004076,0.036685,meta-llama/Llama-3.1-70B-Instruct,distractor_sentence,736
-0.005435,-0.005435,-0.024457,0.013587,meta-llama/Llama-3.1-70B-Instruct,distractor_paragraph,736
0.017663,0.017663,0.002717,0.032609,meta-llama/Llama-3.1-70B-Instruct,polite,736
0.008152,0.008152,-0.004076,0.021739,meta-llama/Llama-3.1-70B-Instruct,direct,736
-0.035326,-0.035326,-0.052989,-0.017663,meta-llama/Llama-3.1-70B-Instruct,cot_constrained,736
0.085598,0.085598,0.063859,0.108696,mistralai/Mistral-7B-Instruct-v0.3,expert,736
0.088315,0.088315,0.065217,0.112772,mistralai/Mistral-7B-Instruct-v0.3,cautious,736
-0.054348,-0.054348,-0.078804,-0.03125,mistralai/Mistral-7B-Instruct-v0.3,concise,736
0.149457,0.149457,0.120924,0.179348,mistralai/Mistral-7B-Instruct-v0.3,avoid_misconceptions,736
-0.021739,-0.021739,-0.040761,-0.002717,mistralai/Mistral-7B-Instruct-v0.3,numeric_labels,736
-0.028533,-0.028533,-0.046196,-0.012228,mistralai/Mistral-7B-Instruct-v0.3,single_line,736
0.016304,0.016304,0.002717,0.03125,mistralai/Mistral-7B-Instruct-v0.3,code_block,736
-0.013587,-0.013587,-0.032609,0.006793,mistralai/Mistral-7B-Instruct-v0.3,distractor_sentence,736
-0.019022,-0.019022,-0.040761,0.002717,mistralai/Mistral-7B-Instruct-v0.3,distractor_paragraph,736
-0.001359,-0.001359,-0.014946,0.012228,mistralai/Mistral-7B-Instruct-v0.3,polite,736
0.004076,0.004076,-0.012228,0.02038,mistralai/Mistral-7B-Instruct-v0.3,direct,736
-0.043478,-0.043478,-0.066576,-0.02038,mistralai/Mistral-7B-Instruct-v0.3,cot_constrained,736
0.052989,0.052989,0.03125,0.076087,google/gemma-3-12b-it,expert,736
0.111413,0.111413,0.085598,0.137228,google/gemma-3-12b-it,cautious,736
-0.033967,-0.033967,-0.052989,-0.014946,google/gemma-3-12b-it,concise,736
0.112772,0.112772,0.08288,0.142663,google/gemma-3-12b-it,avoid_misconceptions,736
-0.024457,-0.024457,-0.038043,-0.012228,google/gemma-3-12b-it,numeric_labels,736
-0.023098,-0.023098,-0.039402,-0.006793,google/gemma-3-12b-it,single_line,736
-0.004076,-0.004076,-0.017663,0.009511,google/gemma-3-12b-it,code_block,736
-0.008152,-0.008152,-0.027174,0.01087,google/gemma-3-12b-it,distractor_sentence,736
-0.029891,-0.029891,-0.057065,-0.002717,google/gemma-3-12b-it,distractor_paragraph,736
0.039402,0.039402,0.024457,0.055707,google/gemma-3-12b-it,polite,736
0.016304,0.016304,0.001359,0.032609,google/gemma-3-12b-it,direct,736
-0.033967,-0.033967,-0.055707,-0.012228,google/gemma-3-12b-it,cot_constrained,736
0.048913,0.048913,0.027174,0.072011,microsoft/Phi-4-mini-instruct,expert,736
0.092391,0.092391,0.069293,0.116848,microsoft/Phi-4-mini-instruct,cautious,736
-0.059783,-0.059783,-0.085598,-0.033967,microsoft/Phi-4-mini-instruct,concise,736
0.097826,0.097826,0.067935,0.127717,microsoft/Phi-4-mini-instruct,avoid_misconceptions,736
-0.028533,-0.028533,-0.046196,-0.01087,microsoft/Phi-4-mini-instruct,numeric_labels,736
-0.084239,-0.084239,-0.108696,-0.059783,microsoft/Phi-4-mini-instruct,single_line,736
-0.014946,-0.014946,-0.03125,0.0,microsoft/Phi-4-mini-instruct,code_block,736
-0.002717,-0.002717,-0.025815,0.02038,microsoft/Phi-4-mini-instruct,distractor_sentence,736
0.021739,0.021739,-0.005435,0.048913,microsoft/Phi-4-mini-instruct,distractor_paragraph,736
0.017663,0.017663,0.0,0.035326,microsoft/Phi-4-mini-instruct,polite,736
0.012228,0.012228,-0.004076,0.028533,microsoft/Phi-4-mini-instruct,direct,736
-0.025815,-0.025815,-0.048913,-0.002717,microsoft/Phi-4-mini-instruct,cot_constrained,736
