model_id,condition_id,accuracy,invalid_rate,n
microsoft/Phi-4-mini-instruct,avoid_misconceptions,0.595108695652174,0.0,736
microsoft/Phi-4-mini-instruct,baseline,0.49728260869565216,0.0,736
microsoft/Phi-4-mini-instruct,cautious,0.5896739130434783,0.0,736
microsoft/Phi-4-mini-instruct,code_block,0.48233695652173914,0.0,736
microsoft/Phi-4-mini-instruct,concise,0.4375,0.0,736
microsoft/Phi-4-mini-instruct,cot_constrained,0.47146739130434784,0.0,736
microsoft/Phi-4-mini-instruct,direct,0.5095108695652174,0.0,736
microsoft/Phi-4-mini-instruct,distractor_paragraph,0.5190217391304348,0.0,736
microsoft/Phi-4-mini-instruct,distractor_sentence,0.4945652173913043,0.0,736
microsoft/Phi-4-mini-instruct,expert,0.5461956521739131,0.0,736
microsoft/Phi-4-mini-instruct,numeric_labels,0.46875,0.002717391304347826,736
microsoft/Phi-4-mini-instruct,polite,0.5149456521739131,0.0,736
microsoft/Phi-4-mini-instruct,single_line,0.41304347826086957,0.0,736
mistralai/Mistral-7B-Instruct-v0.3,avoid_misconceptions,0.686141304347826,0.0,736
mistralai/Mistral-7B-Instruct-v0.3,baseline,0.5366847826086957,0.001358695652173913,736
mistralai/Mistral-7B-Instruct-v0.3,cautious,0.625,0.002717391304347826,736
mistralai/Mistral-7B-Instruct-v0.3,code_block,0.5529891304347826,0.001358695652173913,736
mistralai/Mistral-7B-Instruct-v0.3,concise,0.48233695652173914,0.0,736
mistralai/Mistral-7B-Instruct-v0.3,cot_constrained,0.49320652173913043,0.0,736
mistralai/Mistral-7B-Instruct-v0.3,direct,0.5407608695652174,0.005434782608695652,736
mistralai/Mistral-7B-Instruct-v0.3,distractor_paragraph,0.5176630434782609,0.001358695652173913,736
mistralai/Mistral-7B-Instruct-v0.3,distractor_sentence,0.5230978260869565,0.002717391304347826,736
mistralai/Mistral-7B-Instruct-v0.3,expert,0.6222826086956522,0.0,736
mistralai/Mistral-7B-Instruct-v0.3,numeric_labels,0.5149456521739131,0.029891304347826088,736
mistralai/Mistral-7B-Instruct-v0.3,polite,0.5353260869565217,0.001358695652173913,736
mistralai/Mistral-7B-Instruct-v0.3,single_line,0.5081521739130435,0.002717391304347826,736
