model_id,condition_id,stage,count,pct,accuracy_parsed
Qwen/Qwen2.5-72B-Instruct,cautious,invalid,65,0.0883,
Qwen/Qwen2.5-72B-Instruct,cautious,label_punctuation,355,0.4823,0.9634
Qwen/Qwen2.5-72B-Instruct,cautious,word_boundary,316,0.4293,0.7848
Qwen/Qwen2.5-72B-Instruct,code_block,invalid,38,0.0516,
Qwen/Qwen2.5-72B-Instruct,code_block,label_punctuation,355,0.4823,0.9577
Qwen/Qwen2.5-72B-Instruct,code_block,word_boundary,343,0.466,0.6618
Qwen/Qwen2.5-72B-Instruct,concise,exact_token,728,0.9891,0.8448
Qwen/Qwen2.5-72B-Instruct,concise,invalid,1,0.0014,
Qwen/Qwen2.5-72B-Instruct,concise,label_punctuation,5,0.0068,0.4
Qwen/Qwen2.5-72B-Instruct,concise,word_boundary,2,0.0027,1.0
Qwen/Qwen2.5-72B-Instruct,cot_constrained,exact_token,734,0.9973,0.8202
Qwen/Qwen2.5-72B-Instruct,cot_constrained,label_punctuation,1,0.0014,1.0
Qwen/Qwen2.5-72B-Instruct,cot_constrained,word_boundary,1,0.0014,1.0
Qwen/Qwen2.5-72B-Instruct,direct,invalid,40,0.0543,
Qwen/Qwen2.5-72B-Instruct,direct,label_punctuation,221,0.3003,0.9548
Qwen/Qwen2.5-72B-Instruct,direct,word_boundary,475,0.6454,0.7789
Qwen/Qwen2.5-72B-Instruct,distractor_paragraph,invalid,14,0.019,
Qwen/Qwen2.5-72B-Instruct,distractor_paragraph,label_punctuation,638,0.8668,0.8856
Qwen/Qwen2.5-72B-Instruct,distractor_paragraph,word_boundary,84,0.1141,0.4524
Qwen/Qwen2.5-72B-Instruct,distractor_sentence,invalid,24,0.0326,
Qwen/Qwen2.5-72B-Instruct,distractor_sentence,label_punctuation,399,0.5421,0.9524
Qwen/Qwen2.5-72B-Instruct,distractor_sentence,word_boundary,313,0.4253,0.6709
Qwen/Qwen2.5-72B-Instruct,expert,invalid,39,0.053,
Qwen/Qwen2.5-72B-Instruct,expert,label_punctuation,339,0.4606,0.9617
Qwen/Qwen2.5-72B-Instruct,expert,word_boundary,358,0.4864,0.7458
Qwen/Qwen2.5-72B-Instruct,numeric_labels,invalid,51,0.0693,
Qwen/Qwen2.5-72B-Instruct,numeric_labels,label_punctuation,120,0.163,0.925
Qwen/Qwen2.5-72B-Instruct,numeric_labels,word_boundary,565,0.7677,0.7788
Qwen/Qwen2.5-72B-Instruct,polite,answer_pattern,4,0.0054,0.25
Qwen/Qwen2.5-72B-Instruct,polite,invalid,42,0.0571,
Qwen/Qwen2.5-72B-Instruct,polite,label_punctuation,401,0.5448,0.9352
Qwen/Qwen2.5-72B-Instruct,polite,word_boundary,289,0.3927,0.7093
Qwen/Qwen2.5-72B-Instruct,single_line,invalid,31,0.0421,
Qwen/Qwen2.5-72B-Instruct,single_line,label_punctuation,189,0.2568,0.8519
Qwen/Qwen2.5-72B-Instruct,single_line,word_boundary,516,0.7011,0.7771
Qwen/Qwen2.5-7B-Instruct,avoid_misconceptions,invalid,83,0.1128,
Qwen/Qwen2.5-7B-Instruct,avoid_misconceptions,label_punctuation,167,0.2269,0.8563
Qwen/Qwen2.5-7B-Instruct,avoid_misconceptions,word_boundary,486,0.6603,0.6955
Qwen/Qwen2.5-7B-Instruct,baseline,invalid,71,0.0965,
Qwen/Qwen2.5-7B-Instruct,baseline,label_punctuation,83,0.1128,0.8193
Qwen/Qwen2.5-7B-Instruct,baseline,word_boundary,582,0.7908,0.6237
Qwen/Qwen2.5-7B-Instruct,cautious,invalid,144,0.1957,
Qwen/Qwen2.5-7B-Instruct,cautious,label_punctuation,49,0.0666,0.8367
Qwen/Qwen2.5-7B-Instruct,cautious,word_boundary,543,0.7378,0.6777
Qwen/Qwen2.5-7B-Instruct,code_block,answer_pattern,2,0.0027,0.5
Qwen/Qwen2.5-7B-Instruct,code_block,invalid,83,0.1128,
Qwen/Qwen2.5-7B-Instruct,code_block,label_punctuation,49,0.0666,0.7551
Qwen/Qwen2.5-7B-Instruct,code_block,word_boundary,602,0.8179,0.6462
Qwen/Qwen2.5-7B-Instruct,concise,exact_token,735,0.9986,0.6531
Qwen/Qwen2.5-7B-Instruct,concise,label_punctuation,1,0.0014,1.0
Qwen/Qwen2.5-7B-Instruct,cot_constrained,exact_token,736,1.0,0.6467
Qwen/Qwen2.5-7B-Instruct,direct,answer_pattern,2,0.0027,1.0
Qwen/Qwen2.5-7B-Instruct,direct,invalid,89,0.1209,
Qwen/Qwen2.5-7B-Instruct,direct,label_punctuation,20,0.0272,0.85
Qwen/Qwen2.5-7B-Instruct,direct,word_boundary,625,0.8492,0.6688
Qwen/Qwen2.5-7B-Instruct,distractor_paragraph,invalid,80,0.1087,
Qwen/Qwen2.5-7B-Instruct,distractor_paragraph,label_punctuation,146,0.1984,0.7329
Qwen/Qwen2.5-7B-Instruct,distractor_paragraph,word_boundary,510,0.6929,0.5804
Qwen/Qwen2.5-7B-Instruct,distractor_sentence,invalid,71,0.0965,
Qwen/Qwen2.5-7B-Instruct,distractor_sentence,label_punctuation,98,0.1332,0.7857
Qwen/Qwen2.5-7B-Instruct,distractor_sentence,word_boundary,567,0.7704,0.6049
Qwen/Qwen2.5-7B-Instruct,expert,invalid,211,0.2867,
Qwen/Qwen2.5-7B-Instruct,expert,label_punctuation,25,0.034,0.88
Qwen/Qwen2.5-7B-Instruct,expert,word_boundary,500,0.6793,0.684
Qwen/Qwen2.5-7B-Instruct,numeric_labels,answer_pattern,8,0.0109,0.75
Qwen/Qwen2.5-7B-Instruct,numeric_labels,invalid,91,0.1236,
Qwen/Qwen2.5-7B-Instruct,numeric_labels,label_punctuation,15,0.0204,0.6
Qwen/Qwen2.5-7B-Instruct,numeric_labels,word_boundary,622,0.8451,0.5675
Qwen/Qwen2.5-7B-Instruct,polite,answer_pattern,51,0.0693,0.3725
Qwen/Qwen2.5-7B-Instruct,polite,invalid,124,0.1685,
Qwen/Qwen2.5-7B-Instruct,polite,label_punctuation,39,0.053,0.7179
Qwen/Qwen2.5-7B-Instruct,polite,word_boundary,522,0.7092,0.6571
Qwen/Qwen2.5-7B-Instruct,single_line,invalid,89,0.1209,
Qwen/Qwen2.5-7B-Instruct,single_line,label_punctuation,52,0.0707,0.6346
Qwen/Qwen2.5-7B-Instruct,single_line,word_boundary,595,0.8084,0.6303
google/gemma-3-12b-it,avoid_misconceptions,invalid,5,0.0068,
google/gemma-3-12b-it,avoid_misconceptions,label_punctuation,1,0.0014,1.0
google/gemma-3-12b-it,avoid_misconceptions,word_boundary,730,0.9918,0.7589
google/gemma-3-12b-it,baseline,invalid,2,0.0027,
google/gemma-3-12b-it,baseline,label_punctuation,28,0.038,0.75
google/gemma-3-12b-it,baseline,word_boundary,706,0.9592,0.6388
google/gemma-3-12b-it,cautious,invalid,6,0.0082,
google/gemma-3-12b-it,cautious,label_punctuation,5,0.0068,1.0
google/gemma-3-12b-it,cautious,word_boundary,725,0.9851,0.7572
google/gemma-3-12b-it,code_block,invalid,2,0.0027,
google/gemma-3-12b-it,code_block,label_punctuation,58,0.0788,0.6897
google/gemma-3-12b-it,code_block,word_boundary,676,0.9185,0.6346
google/gemma-3-12b-it,concise,exact_token,729,0.9905,0.6132
google/gemma-3-12b-it,concise,word_boundary,7,0.0095,0.0
google/gemma-3-12b-it,cot_constrained,exact_token,647,0.8791,0.5657
google/gemma-3-12b-it,cot_constrained,invalid,6,0.0082,
google/gemma-3-12b-it,cot_constrained,label_punctuation,79,0.1073,1.0
google/gemma-3-12b-it,cot_constrained,word_boundary,4,0.0054,0.5
google/gemma-3-12b-it,direct,invalid,4,0.0054,
google/gemma-3-12b-it,direct,label_punctuation,28,0.038,0.8571
google/gemma-3-12b-it,direct,word_boundary,704,0.9565,0.6534
google/gemma-3-12b-it,distractor_paragraph,invalid,2,0.0027,
google/gemma-3-12b-it,distractor_paragraph,label_punctuation,264,0.3587,0.6742
google/gemma-3-12b-it,distractor_paragraph,word_boundary,470,0.6386,0.5787
google/gemma-3-12b-it,distractor_sentence,invalid,2,0.0027,
google/gemma-3-12b-it,distractor_sentence,label_punctuation,30,0.0408,0.7333
google/gemma-3-12b-it,distractor_sentence,word_boundary,704,0.9565,0.6307
google/gemma-3-12b-it,expert,invalid,10,0.0136,
google/gemma-3-12b-it,expert,word_boundary,726,0.9864,0.7039
google/gemma-3-12b-it,numeric_labels,invalid,7,0.0095,
google/gemma-3-12b-it,numeric_labels,label_punctuation,74,0.1005,0.7838
google/gemma-3-12b-it,numeric_labels,word_boundary,655,0.8899,0.6046
google/gemma-3-12b-it,polite,invalid,4,0.0054,
google/gemma-3-12b-it,polite,label_punctuation,12,0.0163,0.8333
google/gemma-3-12b-it,polite,word_boundary,720,0.9783,0.6819
google/gemma-3-12b-it,single_line,invalid,1,0.0014,
google/gemma-3-12b-it,single_line,label_punctuation,31,0.0421,0.8387
google/gemma-3-12b-it,single_line,word_boundary,704,0.9565,0.6094
meta-llama/Llama-3.1-70B-Instruct,avoid_misconceptions,invalid,7,0.0095,
meta-llama/Llama-3.1-70B-Instruct,avoid_misconceptions,label_punctuation,330,0.4484,0.9303
meta-llama/Llama-3.1-70B-Instruct,avoid_misconceptions,word_boundary,399,0.5421,0.8371
meta-llama/Llama-3.1-70B-Instruct,baseline,invalid,17,0.0231,
meta-llama/Llama-3.1-70B-Instruct,baseline,label_punctuation,163,0.2215,0.8282
meta-llama/Llama-3.1-70B-Instruct,baseline,word_boundary,556,0.7554,0.7554
meta-llama/Llama-3.1-70B-Instruct,cautious,invalid,20,0.0272,
meta-llama/Llama-3.1-70B-Instruct,cautious,label_punctuation,260,0.3533,0.9308
meta-llama/Llama-3.1-70B-Instruct,cautious,word_boundary,456,0.6196,0.807
meta-llama/Llama-3.1-70B-Instruct,code_block,invalid,17,0.0231,
meta-llama/Llama-3.1-70B-Instruct,code_block,label_punctuation,362,0.4918,0.7845
meta-llama/Llama-3.1-70B-Instruct,code_block,word_boundary,357,0.4851,0.7311
meta-llama/Llama-3.1-70B-Instruct,concise,exact_token,725,0.9851,0.7669
meta-llama/Llama-3.1-70B-Instruct,concise,invalid,5,0.0068,
meta-llama/Llama-3.1-70B-Instruct,concise,word_boundary,6,0.0082,0.5
meta-llama/Llama-3.1-70B-Instruct,cot_constrained,exact_token,720,0.9783,0.7319
meta-llama/Llama-3.1-70B-Instruct,cot_constrained,invalid,13,0.0177,
meta-llama/Llama-3.1-70B-Instruct,cot_constrained,label_punctuation,1,0.0014,1.0
meta-llama/Llama-3.1-70B-Instruct,cot_constrained,word_boundary,2,0.0027,0.5
meta-llama/Llama-3.1-70B-Instruct,direct,invalid,15,0.0204,
meta-llama/Llama-3.1-70B-Instruct,direct,label_punctuation,68,0.0924,0.8824
meta-llama/Llama-3.1-70B-Instruct,direct,word_boundary,653,0.8872,0.7672
meta-llama/Llama-3.1-70B-Instruct,distractor_paragraph,invalid,13,0.0177,
meta-llama/Llama-3.1-70B-Instruct,distractor_paragraph,label_punctuation,420,0.5707,0.7905
meta-llama/Llama-3.1-70B-Instruct,distractor_paragraph,word_boundary,303,0.4117,0.7228
meta-llama/Llama-3.1-70B-Instruct,distractor_sentence,invalid,14,0.019,
meta-llama/Llama-3.1-70B-Instruct,distractor_sentence,label_punctuation,106,0.144,0.8302
meta-llama/Llama-3.1-70B-Instruct,distractor_sentence,word_boundary,616,0.837,0.7825
meta-llama/Llama-3.1-70B-Instruct,expert,invalid,15,0.0204,
meta-llama/Llama-3.1-70B-Instruct,expert,label_punctuation,152,0.2065,0.8816
meta-llama/Llama-3.1-70B-Instruct,expert,word_boundary,569,0.7731,0.7856
meta-llama/Llama-3.1-70B-Instruct,numeric_labels,invalid,34,0.0462,
meta-llama/Llama-3.1-70B-Instruct,numeric_labels,label_punctuation,197,0.2677,0.8579
meta-llama/Llama-3.1-70B-Instruct,numeric_labels,word_boundary,505,0.6861,0.7446
meta-llama/Llama-3.1-70B-Instruct,polite,invalid,15,0.0204,
meta-llama/Llama-3.1-70B-Instruct,polite,label_punctuation,108,0.1467,0.787
meta-llama/Llama-3.1-70B-Instruct,polite,word_boundary,613,0.8329,0.7879
meta-llama/Llama-3.1-70B-Instruct,single_line,invalid,20,0.0272,
meta-llama/Llama-3.1-70B-Instruct,single_line,label_punctuation,126,0.1712,0.7778
meta-llama/Llama-3.1-70B-Instruct,single_line,word_boundary,590,0.8016,0.7644
meta-llama/Llama-3.1-8B-Instruct,avoid_misconceptions,invalid,39,0.053,
meta-llama/Llama-3.1-8B-Instruct,avoid_misconceptions,label_punctuation,120,0.163,0.925
meta-llama/Llama-3.1-8B-Instruct,avoid_misconceptions,word_boundary,577,0.784,0.669
meta-llama/Llama-3.1-8B-Instruct,baseline,invalid,32,0.0435,
meta-llama/Llama-3.1-8B-Instruct,baseline,label_punctuation,330,0.4484,0.8424
meta-llama/Llama-3.1-8B-Instruct,baseline,word_boundary,374,0.5082,0.377
meta-llama/Llama-3.1-8B-Instruct,cautious,invalid,222,0.3016,
meta-llama/Llama-3.1-8B-Instruct,cautious,label_punctuation,120,0.163,0.9
meta-llama/Llama-3.1-8B-Instruct,cautious,word_boundary,394,0.5353,0.6726
meta-llama/Llama-3.1-8B-Instruct,code_block,invalid,22,0.0299,
meta-llama/Llama-3.1-8B-Instruct,code_block,label_punctuation,370,0.5027,0.7973
meta-llama/Llama-3.1-8B-Instruct,code_block,word_boundary,344,0.4674,0.3634
meta-llama/Llama-3.1-8B-Instruct,concise,exact_token,296,0.4022,0.4291
meta-llama/Llama-3.1-8B-Instruct,concise,invalid,2,0.0027,
meta-llama/Llama-3.1-8B-Instruct,concise,label_punctuation,437,0.5938,0.4668
meta-llama/Llama-3.1-8B-Instruct,concise,word_boundary,1,0.0014,0.0
meta-llama/Llama-3.1-8B-Instruct,cot_constrained,exact_token,655,0.8899,0.4427
meta-llama/Llama-3.1-8B-Instruct,cot_constrained,invalid,49,0.0666,
meta-llama/Llama-3.1-8B-Instruct,cot_constrained,label_punctuation,30,0.0408,0.7333
meta-llama/Llama-3.1-8B-Instruct,cot_constrained,word_boundary,2,0.0027,1.0
meta-llama/Llama-3.1-8B-Instruct,direct,invalid,37,0.0503,
meta-llama/Llama-3.1-8B-Instruct,direct,label_punctuation,157,0.2133,0.8599
meta-llama/Llama-3.1-8B-Instruct,direct,word_boundary,542,0.7364,0.5221
meta-llama/Llama-3.1-8B-Instruct,distractor_paragraph,invalid,24,0.0326,
meta-llama/Llama-3.1-8B-Instruct,distractor_paragraph,label_punctuation,488,0.663,0.6824
meta-llama/Llama-3.1-8B-Instruct,distractor_paragraph,word_boundary,224,0.3043,0.2946
meta-llama/Llama-3.1-8B-Instruct,distractor_sentence,invalid,23,0.0312,
meta-llama/Llama-3.1-8B-Instruct,distractor_sentence,label_punctuation,326,0.4429,0.8313
meta-llama/Llama-3.1-8B-Instruct,distractor_sentence,word_boundary,387,0.5258,0.4083
meta-llama/Llama-3.1-8B-Instruct,expert,invalid,43,0.0584,
meta-llama/Llama-3.1-8B-Instruct,expert,label_punctuation,96,0.1304,0.9167
meta-llama/Llama-3.1-8B-Instruct,expert,word_boundary,597,0.8111,0.5946
meta-llama/Llama-3.1-8B-Instruct,numeric_labels,invalid,54,0.0734,
meta-llama/Llama-3.1-8B-Instruct,numeric_labels,label_punctuation,46,0.0625,0.913
meta-llama/Llama-3.1-8B-Instruct,numeric_labels,word_boundary,636,0.8641,0.4969
meta-llama/Llama-3.1-8B-Instruct,polite,invalid,39,0.053,
meta-llama/Llama-3.1-8B-Instruct,polite,label_punctuation,414,0.5625,0.7319
meta-llama/Llama-3.1-8B-Instruct,polite,word_boundary,283,0.3845,0.417
meta-llama/Llama-3.1-8B-Instruct,single_line,invalid,26,0.0353,
meta-llama/Llama-3.1-8B-Instruct,single_line,label_punctuation,335,0.4552,0.8597
meta-llama/Llama-3.1-8B-Instruct,single_line,word_boundary,375,0.5095,0.2827
microsoft/Phi-4-mini-instruct,avoid_misconceptions,label_punctuation,736,1.0,0.5951
microsoft/Phi-4-mini-instruct,baseline,label_punctuation,736,1.0,0.4973
microsoft/Phi-4-mini-instruct,cautious,label_punctuation,736,1.0,0.5897
microsoft/Phi-4-mini-instruct,code_block,label_punctuation,736,1.0,0.4823
microsoft/Phi-4-mini-instruct,concise,exact_token,16,0.0217,0.125
microsoft/Phi-4-mini-instruct,concise,label_punctuation,693,0.9416,0.4545
microsoft/Phi-4-mini-instruct,concise,word_boundary,27,0.0367,0.1852
microsoft/Phi-4-mini-instruct,cot_constrained,exact_token,94,0.1277,0.1702
microsoft/Phi-4-mini-instruct,cot_constrained,label_punctuation,634,0.8614,0.5189
microsoft/Phi-4-mini-instruct,cot_constrained,word_boundary,8,0.0109,0.25
microsoft/Phi-4-mini-instruct,direct,label_punctuation,736,1.0,0.5095
microsoft/Phi-4-mini-instruct,distractor_paragraph,label_punctuation,736,1.0,0.519
microsoft/Phi-4-mini-instruct,distractor_sentence,label_punctuation,736,1.0,0.4946
microsoft/Phi-4-mini-instruct,expert,label_punctuation,736,1.0,0.5462
microsoft/Phi-4-mini-instruct,numeric_labels,invalid,2,0.0027,
microsoft/Phi-4-mini-instruct,numeric_labels,label_punctuation,734,0.9973,0.47
microsoft/Phi-4-mini-instruct,polite,label_punctuation,736,1.0,0.5149
microsoft/Phi-4-mini-instruct,single_line,label_punctuation,736,1.0,0.413
mistralai/Mistral-7B-Instruct-v0.3,avoid_misconceptions,label_punctuation,734,0.9973,0.6866
mistralai/Mistral-7B-Instruct-v0.3,avoid_misconceptions,word_boundary,2,0.0027,0.5
mistralai/Mistral-7B-Instruct-v0.3,baseline,invalid,1,0.0014,
mistralai/Mistral-7B-Instruct-v0.3,baseline,label_punctuation,733,0.9959,0.5375
mistralai/Mistral-7B-Instruct-v0.3,baseline,word_boundary,2,0.0027,0.5
mistralai/Mistral-7B-Instruct-v0.3,cautious,invalid,2,0.0027,
mistralai/Mistral-7B-Instruct-v0.3,cautious,label_punctuation,729,0.9905,0.6296
mistralai/Mistral-7B-Instruct-v0.3,cautious,word_boundary,5,0.0068,0.2
mistralai/Mistral-7B-Instruct-v0.3,code_block,invalid,1,0.0014,
mistralai/Mistral-7B-Instruct-v0.3,code_block,label_punctuation,734,0.9973,0.5531
mistralai/Mistral-7B-Instruct-v0.3,code_block,word_boundary,1,0.0014,1.0
mistralai/Mistral-7B-Instruct-v0.3,concise,exact_token,123,0.1671,0.4797
mistralai/Mistral-7B-Instruct-v0.3,concise,label_punctuation,584,0.7935,0.4983
mistralai/Mistral-7B-Instruct-v0.3,concise,word_boundary,29,0.0394,0.1724
mistralai/Mistral-7B-Instruct-v0.3,cot_constrained,exact_token,310,0.4212,0.429
mistralai/Mistral-7B-Instruct-v0.3,cot_constrained,label_punctuation,423,0.5747,0.5437
mistralai/Mistral-7B-Instruct-v0.3,cot_constrained,word_boundary,3,0.0041,0.0
mistralai/Mistral-7B-Instruct-v0.3,direct,invalid,4,0.0054,
mistralai/Mistral-7B-Instruct-v0.3,direct,label_punctuation,729,0.9905,0.5446
mistralai/Mistral-7B-Instruct-v0.3,direct,word_boundary,3,0.0041,0.3333
mistralai/Mistral-7B-Instruct-v0.3,distractor_paragraph,invalid,1,0.0014,
mistralai/Mistral-7B-Instruct-v0.3,distractor_paragraph,label_punctuation,734,0.9973,0.5177
mistralai/Mistral-7B-Instruct-v0.3,distractor_paragraph,word_boundary,1,0.0014,1.0
mistralai/Mistral-7B-Instruct-v0.3,distractor_sentence,invalid,2,0.0027,
mistralai/Mistral-7B-Instruct-v0.3,distractor_sentence,label_punctuation,728,0.9891,0.5261
mistralai/Mistral-7B-Instruct-v0.3,distractor_sentence,word_boundary,6,0.0082,0.3333
mistralai/Mistral-7B-Instruct-v0.3,expert,label_punctuation,731,0.9932,0.6252
mistralai/Mistral-7B-Instruct-v0.3,expert,word_boundary,5,0.0068,0.2
mistralai/Mistral-7B-Instruct-v0.3,numeric_labels,invalid,22,0.0299,
mistralai/Mistral-7B-Instruct-v0.3,numeric_labels,label_punctuation,711,0.966,0.5331
mistralai/Mistral-7B-Instruct-v0.3,numeric_labels,word_boundary,3,0.0041,0.0
mistralai/Mistral-7B-Instruct-v0.3,polite,invalid,1,0.0014,
mistralai/Mistral-7B-Instruct-v0.3,polite,label_punctuation,724,0.9837,0.5331
mistralai/Mistral-7B-Instruct-v0.3,polite,word_boundary,11,0.0149,0.7273
mistralai/Mistral-7B-Instruct-v0.3,single_line,invalid,2,0.0027,
mistralai/Mistral-7B-Instruct-v0.3,single_line,label_punctuation,732,0.9946,0.5096
mistralai/Mistral-7B-Instruct-v0.3,single_line,word_boundary,2,0.0027,0.5
